0 3,04159265358979
9,0563135283485 -0,738512187830095
9,07502625034966 -0,749527797461939
9,0938562405325 -0,759358860990268
9,1127729792582 -0,76796220894805
9,13174526192552 -0,775304168700949
9,1507425907747 -0,781361378065216
9,16973651559674 -0,786120931307466
9,18870176108858 -0,789579858948105
9,20761700911533 -0,791744048082615
9,22646526129091 -0,792626791415362
9,24523377657061 -0,792247191598209
9,26391364286304 -0,790628637412131
9,28249908708449 -0,787797518666561
9,3009866477446 -0,783782275427346
9,31937432908954 -0,778612804118246
9,33766083285474 -0,772320183503058
9,35584493192625 -0,764936645387413
9,37392501791355 -0,75649569878153
9,39189882731738 -0,7470323181936
9,40976333112761 -0,73658312068904
9,42751476047277 -0,725186476516293
9,44514873521433 -0,712882519848053
9,46266046151819 -0,699713046371715
9,48004496688525 -0,685721301225103
9,49729734559599 -0,670951673227512
9,51441299303836 -0,655449319309776
9,53138781321617 -0,639259746793417
9,54821838934583 -0,622428381332367
9,56490211246597 -0,605000145737971
9,58143726716514 -0,587019070468896
9,59782307675245 -0,568527951165608
9,61405971243952 -0,549568063011824
9,63014827243696 -0,530178936505512
9,64609073742739 -0,510398194813121
9,66188990882517 -0,490261449464847
9,67754933574493 -0,469802248767474
9,69307323584088 -0,449052071888819
9,70846641428492 -0,428040360955732
9,7237341842323 -0,40679458352556
9,7388822912548 -0,385340318256114
9,75391684344996 -0,363701357347107
9,76884424828514 -0,341899820221009
9,78367115671231 -0,319956273849845
9,79840441468824 -0,297889856044083
9,81305102194173 -0,275718398854341
9,8276180976278 -0,25345854997108
9,8421128523821 -0,231125890632523
9,85654256621906 -0,208735049067852
9,87091457169144 -0,186299808919424
9,88523624173362 -0,163833212415871
9,89951498163623 -0,14134765832061
9,91375822463804 -0,118854994870759
9,92797343066601 -0,0963666080617639
9,94216808780174 -0,0738935057344283
9,95634971609885 -0,051446397992681
9,9705258734195 -0,029035774530437
9,98470416299626 -0,00667197948067233
9,9988922424586 0,0156347155753084
10 0,017372359186186
